#Date,Temperatur,Luftfuktighet
2019-09-09 23:52:01,23.4,20
2019-09-10 00:54:25,23,20
2019-09-10 01:56:49,22.8,20
2019-09-10 02:59:13,22.7,20
2019-09-10 03:51:13,22.6,20
2019-09-10 04:53:37,22.5,20
2019-09-10 05:56:00,22.4,22
2019-09-10 06:58:24,22.4,64
2019-09-10 07:50:25,22.4,65
2019-09-10 08:52:48,22.3,71
2019-09-10 09:56:00,22.8,75
2019-09-10 10:58:24,23.1,75
2019-09-10 11:50:24,23.4,75
2019-09-10 12:57:36,23.9,75
2019-09-10 13:50:24,23.9,75
2019-09-10 14:55:12,23.9,75
2019-09-10 15:58:24,24,75
2019-09-10 16:50:24,24.4,75
2019-09-10 17:53:36,24.4,74
2019-09-10 18:55:12,24.4,68
2019-09-10 19:16:00,24.5,66
2019-09-10 20:08:48,24.7,60
2019-09-10 21:11:12,24.4,58
2019-09-10 22:13:36,24.2,58
2019-09-10 23:08:48,24.1,58
2019-09-11 00:11:12,24,20
2019-09-11 01:13:35,23.7,20
2019-09-11 02:16:00,23.5,20
2019-09-11 03:07:59,23.3,20
2019-09-11 04:10:24,23.2,20
2019-09-11 05:12:47,23.1,20
2019-09-11 06:15:11,23.1,38
2019-09-11 07:08:47,23.1,74
2019-09-11 08:11:11,23.1,75
2019-09-11 09:14:23,23.2,75
2019-09-11 10:17:36,23.4,75
2019-09-11 11:09:35,23.7,75
2019-09-11 12:12:47,23.8,75
2019-09-11 13:15:11,23.9,75
2019-09-11 14:13:35,23.6,75
2019-09-11 15:15:59,23.6,74
2019-09-11 16:07:59,23.2,74
2019-09-11 17:11:59,23.1,73
2019-09-11 18:15:59,22.9,71
2019-09-11 19:11:11,22.7,68
2019-09-11 20:15:10,22.7,59
2019-09-11 21:17:34,22.8,59
2019-09-11 22:09:34,22.7,20
2019-09-11 23:11:58,22.6,20
2019-09-12 00:14:22,22.4,20
2019-09-12 01:16:46,22.3,20
2019-09-12 02:08:46,22.2,20
2019-09-12 03:11:10,22.1,20
2019-09-12 04:13:34,22.1,20
2019-09-12 05:16:46,21.9,20
2019-09-12 06:10:22,21.9,42
2019-09-12 07:17:34,22.1,75
2019-09-12 08:09:34,22.3,76
2019-09-12 09:15:10,22.6,76
2019-09-12 10:17:34,23.1,75
2019-09-12 11:11:10,23.6,75
